song,intro,outro,name,length
bingCrosby_accentuateThePositive.ogg,bingCrosby_accentuateThePositive1.ogg|bingCrosby1.ogg,bingCrosby_accentuateThePositive1.ogg,Accentuate The Positive,68.88
bingCrosby_pistolPackinMama.ogg,bingCrosby2.ogg|bingCrosby_pistolPackinMama1.ogg,bingCrosby1.ogg,Pistol Packin' Mama,179.63
bobCrosby_dearHeartsAndGentlePeople.ogg,bobCrosby1.ogg|bobCrosby2.ogg|bobCrosby3.ogg|bobCrosby4.ogg|bobCrosby5.ogg|bobCrosby_dearHeartsAndGentlePeople1.ogg,bobCrosby1.ogg|bobCrosby2.ogg|bobCrosby3.ogg,Dear Hearts and Gentle People,130.28
bobCrosby_happyTimes.ogg,bobCrosby1.ogg|bobCrosby2.ogg|bobCrosby3.ogg|bobCrosby4.ogg|bobCrosby5.ogg|bobCrosby_happyTimes1.ogg,bobCrosby1.ogg|bobCrosby2.ogg|bobCrosby3.ogg,Happy Times,163.12
bobCrosby_wayBackHome.ogg,bobCrosby_wayBackHome1.ogg|bobCrosby_wayBackHome2.ogg|bobCrosby_wayBackHome3.ogg,bobCrosby1.ogg|bobCrosby2.ogg|bobCrosby3.ogg,Way Back Home,172.03
skeeterDavis_endOfTheWorld.ogg,skeeterDavis_endOfTheWorld1.ogg|skeeterDavis_endOfTheWorld2.ogg|skeeterDavis_endOfTheWorld3.ogg,skeeterDavis1.ogg|skeeterDavis2.ogg,End of the World,156.38
connieAllen_rocket69.ogg,connieAllen_rocket69_1.ogg|connieAllen_rocket69_2.ogg|connieAllen_rocket69_2.ogg,connieAllen_rocket69_1.ogg,Rocket 69,162.51
wynonieHarris_grandmaPlaysTheNumbers.ogg,wynonieHarries_grandmaPlaysTheNumbers1.ogg|wynonieHarries_grandmaPlaysTheNumbers2.ogg|wynonieHarries_grandmaPlaysTheNumbers3.ogg,wynonieHarris1.ogg,Grandma Plays the Numbers,158.41
ellaFitzgerald_intoEachLifeSomeRainMustFall.ogg,ellaFitzgerald_intoEachLifeSomeRainMustFall1.ogg|ellaFitzgerald_intoEachLifeSomeRainMustFall2.ogg|ellaFitzgerald_intoEachLifeSomeRainMustFall3.ogg,ellaFitzgerald_intoEachLifeSomeRainMustFall1.ogg,Into Each Life Some Rain Must Fall,184.73
dannyKaye_civilization.ogg,dannyKaye_civilization1.ogg|dannyKaye_civilization2.ogg|dannyKaye_civilization3.ogg|dannyKaye_civilization4.ogg,dannyKaye_civilization1.ogg,Civilization,182.66
ellaFitzgerald_undecided.ogg,ellaFitzgerald_undecided1.ogg|ellaFitzgerald_undecided2.ogg|ellaFitzgerald_undecided3.ogg|ellaFitzgerald_undecided4.ogg,ellaFitzgerald_undecided1.ogg,Undecided,196.15
theInkSpots_IDontWantToSetTheWorldOnFire.ogg,theInkSpots_iDontWantToSetTheWorldOnFire1.ogg|theInkSpots_iDontWantToSetTheWorldOnFire2.ogg|theInkSpots_iDontWantToSetTheWorldOnFire3.ogg|theInkSpots_iDontWantToSetTheWorldOnFire4.ogg,theInkSpots_iDontWantToSetTheWorldOnFire1.ogg,I Don't Want To Set The World On Fire,185.24
theInkSpots_maybe.ogg,theInkSpots_maybe1.ogg|theInkSpots_maybe2.ogg|theInkSpots_maybe3.ogg|theInkSpots_maybe4.ogg,theInkSpots_maybe1.ogg,Maybe,186.36
theInkSpots_itsAllOverButTheCrying.ogg,theInkSpots_itsAllOverButTheCrying1.ogg|theInkSpots_itsAllOverButTheCrying2.ogg|theInkSpots_itsAllOverButTheCrying3.ogg,theInkSpots_itsAllOverButTheCrying1.ogg,It's All Over But The Crying,168.52
royBrown_butcherPetePart1.ogg,royBrown_ButcherPetePart1_1.ogg|royBrown_ButcherPetePart1_2.ogg|royBrown_ButcherPetePart1_3.ogg|royBrown_ButcherPetePart1_4.ogg,royBrown_butcherPete1.ogg,Butcher Pete (Part 1),145.88
royBrown_mightyMightyMan.ogg,royBrown_mightyMightyMan1.ogg|royBrown_mightyMightyMan2.ogg|royBrown_mightyMightyMan3.ogg|royBrown_mightyMightyMan4.ogg,royBrown_mightyMightyMan1.ogg,Mighty Mighty Man,154.06
royBrown_butcherPetePart2.ogg,royBrown_ButcherPetePart2_1.ogg|royBrown_ButcherPetePart2_2.ogg|royBrown_ButcherPetePart2_3.ogg,royBrown_butcherPete2.ogg,Butcher Pete (Part 2),161.33
colePorter_anythingGoes.ogg,colePorter_anythingGoes1.ogg|colePorter_anythingGoes2.ogg|colePorter_anythingGoes3.ogg|colePorter_anythingGoes4.ogg,colePorter_anythingGoes1.ogg,Anything Goes,187.97
billieHoliday_easyLiving.ogg,billieHoliday_easyLiving1.ogg|billieHoliday_easyLiving2.ogg|billieHoliday_easyLiving3.ogg|billieHoliday_easyLiving4.ogg,billieHoliday1.ogg|billieHoliday2.ogg,Easy Living,182.28
billieHoliday_crazyHeCallsMe.ogg,billieHoliday_crazyHeCallsMe1.ogg|billieHoliday_crazyHeCallsMe2.ogg|billieHoliday_crazyHeCallsMe3.ogg|billieHoliday_crazyHeCallsMe4.ogg,billieHoliday1.ogg|billieHoliday2.ogg,Crazy He Calls Me,183.53
billyWard_sixtyMinuteMan.ogg,billyWard_sixtyMinuteMan1.ogg|billyWard_sixtyMinuteMan2.ogg|billyWard_sixtyMinuteMan3.ogg,billyWard1.ogg,Sixty Minute Man,147.43
bettyHutton_itsAMan.ogg,bettyHutton_itsAMan1.ogg|bettyHutton_itsAMan2.ogg|bettyHutton_itsAMan3.ogg|bettyHutton_itsAMan4.ogg,bettyHutton1.ogg|bettyHutton2.ogg,It's A Man,143.23
bettyHutton_hesADemon.ogg,bettyHutton_itsAMan1.ogg|bettyHutton_itsAMan2.ogg|bettyHutton_itsAMan3.ogg|bettyHutton_itsAMan4.ogg,bettyHutton1.ogg|bettyHutton2.ogg,He's a Demon He's a Devil He's a Doll,193.75
frankieCarle_oneMoreTomorrow.ogg,frankieCarle_oneMoreTomorrow1.ogg|frankieCarle_oneMoreTomorrow2.ogg|frankieCarle_oneMoreTomorrow3.ogg,frankieCarle_oneMoreTomorrow1.ogg,One More Tomorrow,198.73
johnnyMercer_personality.ogg,johnnyMercer_personality1.ogg|johnnyMercer_personality2.ogg|johnnyMercer_personality3.ogg,johnnyMercer_personality1.ogg,Personality,165.62
louisJordan_keepAKnockin.ogg,louisJordan_keepAKnockin1.ogg|louisJordan_keepAKnockin2.ogg|louisJordan_keepAKnockin3.ogg,louisJordan_keepAKnockin1.ogg,Keep A Knockin',148.05
bigMaybelle_wholeLottaShakin.ogg,bigMaybelle_wholeLottaShakin1.ogg|bigMaybelle_wholeLottaShakin2.ogg|bigMaybelle_wholeLottaShakin3.ogg,bigMaybelle_wholeLottaShakin1.ogg,Whole 'Lotta Shakin',160.18
eltonBritt_uraniumFever.ogg,eltonBritt_uraniumFever1.ogg|eltonBritt_uraniumFever2.ogg,eltonBritt_uraniumFever1.ogg,Uranium Fever,138.32
royBrown_goodRockinTonight.ogg,royBrown_goodRockinTonight1.ogg|royBrown_goodRockinTonight2.ogg|royBrown_goodRockinTonight3.ogg,royBrown_goodRockinTonight1.ogg,Good Rockin Tonight,177.32
theThreeSuns_worryWorryWorry.ogg,theThreeSuns_worryWorryWorry1.ogg|theThreeSuns_worryWorryWorry2.ogg|theThreeSuns_worryWorryWorry3.ogg,general1.ogg,Worry Worry Worry,151.38
raySmith_rightBehindYouBaby.ogg,raySmith_rightBehindYouBaby1.ogg|raySmith_rightBehindYouBaby2.ogg|raySmith_rightBehindYouBaby3.ogg,raySmith1.ogg,Right Behind You Baby,142.86
sheldonAllman_crawlOutThroughTheFallout.ogg,sheldonAllman_crawlOutThroughTheFallout1.ogg|sheldonAllman_crawlOutThroughTheFallout2.ogg|sheldonAllman_crawlOutThroughTheFallout3.ogg,sheldonAllman_crawlOutThroughTheFallout1.ogg,Crawl Out Through the Fallout,139.14
theFiveStars_atomBombBaby.ogg,theFiveStars_atomBombBaby1.ogg|theFiveStars_atomBombBaby2.ogg|theFiveStars_atomBombBaby3.ogg,theFiveStars1.ogg,Atom Bomb Baby,136.78
warrenSmith_uraniumRock.ogg,warrenSmith_uraniumRock1.ogg|warrenSmith_uraniumRock2.ogg|warrenSmith_uraniumRock3.ogg,warrenSmith1.ogg,Uranium Rock,125.61
